,UnitID,Core_Revenues,Tuition_And_Fees,Government_Grants,Private_Gifts,Investment_Return,Sales_And_Services,Other_Revenues,Tuition_And_Fees_As_Dollar_Amount,Government_Grants_As_Dollar_Amount,Private_Gifts_As_Dollar_Amount,Investment_Return_As_Dollar_Amount,Sales_And_Services_As_Dollar_Amount,Other_Revenues_As_Dollar_Amount,Core_Expenses,Instruction_Expenses,Research_Expenses,Public_Service_Expenses,Academic_Support_Expenses,Student_Service_Expenses,Institutional_Support_Expenses,Other_Core_Expenses,Instruction_Expenses_As_Dollar_Amount,Research_Expenses_As_Dollar_Amount,Public_Service_Expenses_As_Dollar_Amount,Academic_Support_Expenses_As_Dollar_Amount,Student_Service_Expenses_As_Dollar_Amount,Institutional_Support_Expenses_As_Dollar_Amount,Other_Core_Expenses_As_Dollar_Amount,Grand total instructional_staff,Grand total men instructional_staff,Grand total women instructional_staff,American Indian or Alaska Native total instructional_staff,American Indian or Alaska Native men instructional_staff,American Indian or Alaska Native women instructional_staff,Asian total instructional_staff,Asian men instructional_staff,Asian women instructional_staff,Black or African American total instructional_staff,Black or African American men instructional_staff,Black or African American women instructional_staff,Hispanic or Latino total instructional_staff,Hispanic or Latino men instructional_staff,Hispanic or Latino women instructional_staff,Native Hawaiian or Other Pacific Islander total instructional_staff,Native Hawaiian or Other Pacific Islander men instructional_staff,Native Hawaiian or Other Pacific Islander women instructional_staff,White total instructional_staff,White men instructional_staff,White women instructional_staff,Two or more races total instructional_staff,Two or more races men instructional_staff,Two or more races women instructional_staff,Race/ethnicity unknown total instructional_staff,Race/ethnicity unknown men instructional_staff,Race/ethnicity unknown women instructional_staff,Nonresident alien total instructional_staff,Nonresident alien men instructional_staff,Nonresident alien women instructional_staff,Grand total men instructional_staff_as_percentage,Grand total women instructional_staff_as_percentage,American Indian or Alaska Native total instructional_staff_as_percentage,American Indian or Alaska Native men instructional_staff_as_percentage,American Indian or Alaska Native women instructional_staff_as_percentage,Asian total instructional_staff_as_percentage,Asian men instructional_staff_as_percentage,Asian women instructional_staff_as_percentage,Black or African American total instructional_staff_as_percentage,Black or African American men instructional_staff_as_percentage,Black or African American women instructional_staff_as_percentage,Hispanic or Latino total instructional_staff_as_percentage,Hispanic or Latino men instructional_staff_as_percentage,Hispanic or Latino women instructional_staff_as_percentage,Native Hawaiian or Other Pacific Islander total instructional_staff_as_percentage,Native Hawaiian or Other Pacific Islander men instructional_staff_as_percentage,Native Hawaiian or Other Pacific Islander women instructional_staff_as_percentage,White total instructional_staff_as_percentage,White men instructional_staff_as_percentage,White women instructional_staff_as_percentage,Two or more races total instructional_staff_as_percentage,Two or more races men instructional_staff_as_percentage,Two or more races women instructional_staff_as_percentage,Race/ethnicity unknown total instructional_staff_as_percentage,Race/ethnicity unknown men instructional_staff_as_percentage,Race/ethnicity unknown women instructional_staff_as_percentage,Nonresident alien total instructional_staff_as_percentage,Nonresident alien men instructional_staff_as_percentage,Nonresident alien women instructional_staff_as_percentage,Percent of full-time first-time undergraduates awarded any financial aid (SFA1819),Percent of full-time first-time undergraduates awarded federal  state  local or institutional grant aid (SFA1819),Percent of total enrollment that are American Indian or Alaska Native (DRVEF2013_RV),Percent of total enrollment that are Asian/Native Hawaiian/Pacific Islander (DRVEF2013_RV),Percent of total enrollment that are Asian (DRVEF2013_RV),Percent of total enrollment that are Native Hawaiian or Other Pacific Islander (DRVEF2013_RV),Percent of total enrollment that are Black or African American (DRVEF2013_RV),Percent of total enrollment that are Hispanic/Latino (DRVEF2013_RV),Percent of total enrollment that are White (DRVEF2013_RV),Percent of total enrollment that are Race/ethnicity unknown (DRVEF2013_RV),Percent of total enrollment that are Nonresident Alien (DRVEF2013_RV),Percent of total enrollment that are two or more races (DRVEF2013_RV),Percent of total enrollment that are women (DRVEF2013_RV),Grand total (EF2013B_RV  Undergraduate  Age under 25 total),Total men (EF2013B_RV  Undergraduate  Age under 25 total),Total women (EF2013B_RV  Undergraduate  Age under 25 total),Grand total (EF2013B_RV  Undergraduate  Age 25 and over total),Total men (EF2013B_RV  Undergraduate  Age 25 and over total),Total women (EF2013B_RV  Undergraduate  Age 25 and over total),Incoming_Class_Grand_Total,Grand total (EF2013B_RV  Undergraduate  Age under 25 total)_as_percentage,Total men (EF2013B_RV  Undergraduate  Age under 25 total)_as_percentage,Total women (EF2013B_RV  Undergraduate  Age under 25 total)_as_percentage,Grand total (EF2013B_RV  Undergraduate  Age 25 and over total)_as_percentage,Total men (EF2013B_RV  Undergraduate  Age 25 and over total)_as_percentage,Total women (EF2013B_RV  Undergraduate  Age 25 and over total)_as_percentage,Total price for out-of-state students living on campus 2012-13 (DRVIC2012_RV),Student-to-faculty ratio (EF2019D),SAT Critical Reading 75th percentile score (IC2012_RV),SAT Math 75th percentile score (IC2012_RV),ACT Composite 75th percentile score (IC2012_RV),Carnegie Classification 2018: Basic (HD2018),Carnegie Classification 2018: Enrollment Profile (HD2018),Carnegie Classification 2018: Size and Setting (HD2018),Historically Black College or University (HD2018),Institution size category (HD2018),Parent/child indicator - Finance (FLAGS2019),Sector of institution (HD2018),State abbreviation (HD2018),Graduation rate  total cohort (DRVGR2019),Graduation rate  men (DRVGR2019),Graduation rate  women (DRVGR2019),Graduation rate  American Indian or Alaska Native (DRVGR2019),Graduation rate  Asian/Native Hawaiian/Other Pacific Islander (DRVGR2019),Graduation rate  Asian (DRVGR2019),Graduation rate  Native Hawaiian or Other Pacific Islander (DRVGR2019),Graduation rate  Black  non-Hispanic (DRVGR2019),Graduation rate  Hispanic (DRVGR2019),Graduation rate  White  non-Hispanic (DRVGR2019),Graduation rate  two or more races (DRVGR2019),Graduation rate  Race/ethnicity unknown (DRVGR2019),Graduation rate  Nonresident alien (DRVGR2019),Transfer-out rate  total cohort (DRVGR2019)
0,180203,7078959.0,2.0,60.0,7.0,1.0,0.0,29.0,141579.18,4247375.399999999,495527.13000000006,70789.59,0.0,2052898.1099999999,7294344.0,29.0,3.0,7.0,3.0,8.0,16.0,36.0,2115359.76,218830.31999999998,510604.0800000001,218830.31999999998,583547.52,1167095.04,2625963.84,13.0,7.0,6.0,8.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.85,46.15,61.54,30.77,30.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.46,23.08,15.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,82.0,88.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,57.0,75.0,31.0,44.0,64.0,29.0,35.0,139.0,0.54,0.22,0.32,0.46,0.21,0.25,,10.0,,,,Tribal Colleges,Exclusively undergraduate two-year,"Two-year, very small",No,"Under 1,000",Not applicable,"Public, 2-year",Montana,29.0,13.0,46.0,26.0,,,,,,33.0,,,,
1,138558,70491879.0,17.0,17.0,2.0,0.0,0.0,28.0,11983619.430000002,11983619.430000002,1409837.58,0.0,0.0,19737726.12,50201124.0,42.0,0.0,3.0,15.0,9.0,19.0,13.0,21084472.08,0.0,1506033.72,7530168.6,4518101.16,9538213.56,6526146.12,149.0,77.0,72.0,0.0,0.0,0.0,10.0,5.0,5.0,10.0,7.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0,124.0,62.0,62.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,51.68,48.32,0.0,0.0,0.0,6.71,3.36,3.36,6.71,4.7,2.01,2.01,1.34,0.67,0.0,0.0,0.0,83.22,41.61,41.61,0.0,0.0,0.0,0.67,0.67,0.0,0.67,0.0,0.67,91.0,86.0,0.0,1.0,1.0,0.0,12.0,6.0,78.0,0.0,2.0,1.0,54.0,2877.0,1389.0,1488.0,517.0,163.0,354.0,3394.0,0.85,0.41,0.44,0.15,0.05,0.1,22684.0,17.0,420.0,410.0,17.0,Baccalaureate/Associate's Colleges: Mixed Baccalaureate/Associate's,Exclusively undergraduate four-year,"Four-year, small, primarily residential",No,"1,000 - 4,999",Not applicable,"Public, 4-year or above",Georgia,26.0,28.0,25.0,33.0,25.0,25.0,,12.0,32.0,29.0,20.0,100.0,33.0,39.0
2,126182,52099218.0,34.0,51.0,5.0,1.0,0.0,9.0,17713734.12,26570601.18,2604960.9000000004,520992.18,0.0,4688929.62,35725137.0,53.0,0.0,3.0,7.0,18.0,15.0,5.0,18934322.61,0.0,1071754.1099999999,2500759.5900000003,6430524.66,5358770.55,1786256.85,103.0,46.0,57.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,17.0,6.0,11.0,2.0,1.0,1.0,79.0,36.0,43.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,44.66,55.34,0.0,0.0,0.0,0.97,0.97,0.0,0.97,0.0,0.97,16.5,5.83,10.68,1.94,0.97,0.97,76.7,34.95,41.75,0.0,0.0,0.0,2.91,1.94,0.97,0.0,0.0,0.0,98.0,92.0,1.0,2.0,1.0,0.0,7.0,26.0,56.0,5.0,0.0,3.0,56.0,1803.0,946.0,857.0,481.0,187.0,294.0,2284.0,0.79,0.41,0.38,0.21,0.08,0.13,29378.0,15.0,530.0,550.0,23.0,Master's Colleges & Universities: Larger Programs,Majority undergraduate,"Four-year, small, highly residential",No,"1,000 - 4,999",Not applicable,"Public, 4-year or above",Colorado,30.0,25.0,36.0,20.0,33.0,33.0,33.0,17.0,20.0,38.0,27.0,43.0,,19.0
3,100654,143112797.0,33.0,30.0,2.0,0.0,0.0,6.0,47227223.010000005,42933839.1,2862255.94,0.0,0.0,8586767.82,146878227.0,22.0,9.0,9.0,6.0,14.0,11.0,29.0,32313209.94,13219040.43,13219040.43,8812693.62,20562951.78,16156604.97,42594685.83,242.0,131.0,111.0,1.0,0.0,1.0,25.0,15.0,10.0,162.0,87.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,16.0,18.0,2.0,0.0,2.0,0.0,0.0,0.0,18.0,13.0,5.0,54.13,45.87,0.41,0.0,0.41,10.33,6.2,4.13,66.94,35.95,30.99,0.0,0.0,0.0,0.0,0.0,0.0,14.05,6.61,7.44,0.83,0.0,0.83,0.0,0.0,0.0,7.44,5.37,2.07,90.0,87.0,0.0,1.0,1.0,0.0,92.0,1.0,5.0,1.0,0.0,0.0,55.0,3625.0,1738.0,1887.0,425.0,231.0,194.0,4050.0,0.9,0.43,0.47,0.1,0.06,0.05,24668.0,20.0,455.0,460.0,19.0,Master's Colleges & Universities: Larger Programs,High undergraduate,"Four-year, medium, highly residential",Yes,"5,000 - 9,999",Not applicable,"Public, 4-year or above",Alabama,30.0,23.0,36.0,100.0,67.0,100.0,50.0,30.0,27.0,33.0,0.0,100.0,11.0,37.0
4,100724,134993142.0,30.0,25.0,2.0,1.0,0.0,7.0,40497942.6,33748285.5,2699862.84,1349931.42,0.0,9449519.940000001,134888910.0,29.0,3.0,4.0,9.0,12.0,27.0,16.0,39117783.9,4046667.3,5395556.4,12140001.9,16186669.2,36420005.7,21582225.6,226.0,114.0,112.0,0.0,0.0,0.0,29.0,21.0,8.0,138.0,58.0,80.0,3.0,3.0,0.0,0.0,0.0,0.0,51.0,31.0,20.0,0.0,0.0,0.0,5.0,1.0,4.0,0.0,0.0,0.0,50.44,49.56,0.0,0.0,0.0,12.83,9.29,3.54,61.06,25.66,35.4,1.33,1.33,0.0,0.0,0.0,0.0,22.57,13.72,8.85,0.0,0.0,0.0,2.21,0.44,1.77,0.0,0.0,0.0,95.0,89.0,0.0,0.0,0.0,0.0,91.0,1.0,3.0,1.0,2.0,1.0,61.0,4676.0,1872.0,2804.0,680.0,316.0,364.0,5356.0,0.87,0.35,0.52,0.13,0.06,0.07,22993.0,15.0,460.0,480.0,19.0,Master's Colleges & Universities: Medium Programs,Very high undergraduate,"Four-year, medium, highly residential",Yes,"1,000 - 4,999",Not applicable,"Public, 4-year or above",Alabama,33.0,27.0,37.0,50.0,20.0,25.0,0.0,31.0,53.0,47.0,41.0,25.0,63.0,36.0
5,138716,81754461.0,21.0,36.0,2.0,0.0,0.0,4.0,17168436.81,29431605.959999997,1635089.22,0.0,0.0,3270178.44,89924505.0,35.0,1.0,4.0,10.0,7.0,15.0,28.0,31473576.749999996,899245.05,3596980.2,8992450.5,6294715.350000001,13488675.75,25178861.400000002,196.0,94.0,102.0,0.0,0.0,0.0,18.0,14.0,4.0,91.0,40.0,51.0,4.0,2.0,2.0,0.0,0.0,0.0,74.0,30.0,44.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,7.0,1.0,47.96,52.04,0.0,0.0,0.0,9.18,7.14,2.04,46.43,20.41,26.02,2.04,1.02,1.02,0.0,0.0,0.0,37.76,15.31,22.45,0.51,0.51,0.0,0.0,0.0,0.0,4.08,3.57,0.51,96.0,88.0,0.0,0.0,0.0,0.0,89.0,1.0,7.0,3.0,0.0,0.0,68.0,2783.0,1016.0,1767.0,877.0,241.0,636.0,3660.0,0.76,0.28,0.48,0.24,0.07,0.17,31094.0,19.0,450.0,460.0,19.0,Master's Colleges & Universities: Medium Programs,Very high undergraduate,"Four-year, medium, primarily residential",Yes,"5,000 - 9,999",Not applicable,"Public, 4-year or above",Georgia,23.0,18.0,26.0,0.0,18.0,20.0,0.0,23.0,22.0,22.0,11.0,35.0,32.0,47.0
6,175342,75226337.0,12.0,43.0,0.0,1.0,0.0,12.0,9027160.44,32347324.91,0.0,752263.37,0.0,9027160.44,76086915.0,23.0,9.0,8.0,9.0,11.0,20.0,21.0,17499990.45,6847822.35,6086953.2,6847822.35,8369560.65,15217383.0,15978252.149999999,158.0,82.0,76.0,0.0,0.0,0.0,16.0,13.0,3.0,97.0,46.0,51.0,2.0,0.0,2.0,1.0,1.0,0.0,29.0,12.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,10.0,3.0,51.9,48.1,0.0,0.0,0.0,10.13,8.23,1.9,61.39,29.11,32.28,1.27,0.0,1.27,0.63,0.63,0.0,18.35,7.59,10.76,0.0,0.0,0.0,0.0,0.0,0.0,8.23,6.33,1.9,88.0,88.0,0.0,0.0,0.0,0.0,93.0,0.0,4.0,0.0,1.0,1.0,67.0,2355.0,941.0,1414.0,802.0,177.0,625.0,3157.0,0.75,0.3,0.45,0.25,0.06,0.2,20139.0,16.0,470.0,500.0,20.0,Master's Colleges & Universities: Medium Programs,Very high undergraduate,"Four-year, medium, highly residential",Yes,"1,000 - 4,999",Not applicable,"Public, 4-year or above",Mississippi,41.0,34.0,45.0,0.0,100.0,,100.0,41.0,67.0,57.0,33.0,,50.0,
7,168607,16731247.0,27.0,20.0,0.0,0.0,0.0,2.0,4517436.69,3346249.4000000004,0.0,0.0,0.0,334624.94,17261386.0,45.0,0.0,2.0,8.0,16.0,13.0,16.0,7767623.7,0.0,345227.72000000003,1380910.8800000001,2761821.7600000002,2243980.18,2761821.7600000002,46.0,29.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,29.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.04,36.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,63.04,36.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,77.0,1.0,1.0,1.0,0.0,1.0,1.0,96.0,0.0,0.0,0.0,55.0,1205.0,553.0,652.0,506.0,216.0,290.0,1711.0,0.7,0.32,0.38,0.3,0.13,0.17,,14.0,,,,Baccalaureate/Associate's Colleges: Associate's Dominant,Exclusively undergraduate four-year,"Four-year, very small, primarily nonresidential",No,"1,000 - 4,999",Not applicable,"Public, 4-year or above",Michigan,36.0,41.0,29.0,17.0,100.0,,100.0,29.0,33.0,37.0,,0.0,,21.0
8,240736,16502858.0,4.0,53.0,0.0,1.0,0.0,24.0,660114.3200000001,8746514.74,0.0,165028.58000000002,0.0,3960685.92,13611858.0,27.0,19.0,0.0,4.0,6.0,23.0,21.0,3675201.66,2586253.02,0.0,544474.3200000001,816711.48,3130727.3400000003,2858490.1799999997,91.0,39.0,52.0,0.0,0.0,0.0,7.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,31.0,45.0,8.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.86,57.14,0.0,0.0,0.0,7.69,4.4,3.3,0.0,0.0,0.0,0.0,0.0,0.0,83.52,34.07,49.45,8.79,4.4,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,87.0,0.0,93.0,1.0,92.0,0.0,0.0,0.0,0.0,7.0,0.0,61.0,1224.0,486.0,738.0,264.0,90.0,174.0,1488.0,0.82,0.33,0.5,0.18,0.06,0.12,,12.0,,,,Baccalaureate/Associate's Colleges: Associate's Dominant,Exclusively undergraduate four-year,"Four-year, very small, primarily nonresidential",No,"1,000 - 4,999",Not applicable,"Public, 4-year or above",American Samoa,34.0,27.0,41.0,,34.0,0.0,35.0,,,,,,42.0,
9,222831,140576736.0,35.0,16.0,6.0,9.0,0.0,10.0,49201857.599999994,22492277.76,8434604.16,12651906.24,0.0,14057673.600000001,132005793.0,40.0,1.0,1.0,7.0,7.0,15.0,29.0,52802317.2,1320057.93,1320057.93,9240405.510000002,9240405.510000002,19800868.95,38281679.97,309.0,164.0,145.0,6.0,1.0,5.0,15.0,12.0,3.0,12.0,7.0,5.0,27.0,13.0,14.0,0.0,0.0,0.0,247.0,129.0,118.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,53.07,46.93,1.94,0.32,1.62,4.85,3.88,0.97,3.88,2.27,1.62,8.74,4.21,4.53,0.0,0.0,0.0,79.94,41.75,38.19,0.0,0.0,0.0,0.65,0.65,0.0,0.0,0.0,0.0,94.0,90.0,1.0,1.0,1.0,0.0,8.0,28.0,57.0,1.0,2.0,2.0,56.0,4703.0,2162.0,2541.0,770.0,371.0,399.0,5473.0,0.86,0.4,0.46,0.14,0.07,0.07,27935.0,20.0,500.0,530.0,23.0,Master's Colleges & Universities: Larger Programs,High undergraduate,"Four-year, medium, primarily residential",No,"10,000 - 19,999",Not applicable,"Public, 4-year or above",Texas,40.0,37.0,42.0,100.0,29.0,29.0,,26.0,35.0,45.0,41.0,,83.0,36.0
